Algorithm,InputType,Size,Time(ms)
Bubble,Random,8000,103.512
Bubble,Ascending,8000,0.005
Bubble,Descending,8000,187.253
Bubble,Random,12000,260.269
Bubble,Ascending,12000,0.007
Bubble,Descending,12000,405.997
Bubble,Random,16000,493.140
Bubble,Ascending,16000,0.011
Bubble,Descending,16000,724.306
Bubble,Random,20000,804.131
Bubble,Ascending,20000,0.060
Bubble,Descending,20000,1126.262
Bubble,Random,24000,1193.228
Bubble,Ascending,24000,0.014
Bubble,Descending,24000,1627.672
Bubble,Random,28000,1643.924
Bubble,Ascending,28000,0.016
Bubble,Descending,28000,2212.513
Bubble,Random,32000,2190.839
Bubble,Ascending,32000,0.020
Bubble,Descending,32000,2910.820
Bubble,Random,36000,2860.171
Bubble,Ascending,36000,0.024
Bubble,Descending,36000,3688.885
Insertion,Random,8000,4.344
Insertion,Ascending,8000,0.008
Insertion,Descending,8000,10.432
Insertion,Random,12000,9.801
Insertion,Ascending,12000,0.011
Insertion,Descending,12000,19.024
Insertion,Random,16000,16.262
Insertion,Ascending,16000,0.015
Insertion,Descending,16000,32.826
Insertion,Random,20000,27.584
Insertion,Ascending,20000,0.014
Insertion,Descending,20000,52.907
Insertion,Random,24000,38.338
Insertion,Ascending,24000,0.016
Insertion,Descending,24000,75.941
Insertion,Random,28000,51.233
Insertion,Ascending,28000,0.018
Insertion,Descending,28000,101.656
Insertion,Random,32000,71.363
Insertion,Ascending,32000,0.047
Insertion,Descending,32000,139.626
Insertion,Random,36000,83.579
Insertion,Ascending,36000,0.023
Insertion,Descending,36000,173.700
Selection,Random,8000,15.907
Selection,Ascending,8000,15.567
Selection,Descending,8000,17.870
Selection,Random,12000,35.564
Selection,Ascending,12000,34.108
Selection,Descending,12000,38.100
Selection,Random,16000,62.128
Selection,Ascending,16000,61.713
Selection,Descending,16000,68.089
Selection,Random,20000,95.495
Selection,Ascending,20000,94.445
Selection,Descending,20000,106.365
Selection,Random,24000,140.738
Selection,Ascending,24000,137.558
Selection,Descending,24000,148.114
Selection,Random,28000,186.074
Selection,Ascending,28000,181.039
Selection,Descending,28000,205.145
Selection,Random,32000,241.825
Selection,Ascending,32000,239.465
Selection,Descending,32000,269.499
Selection,Random,36000,306.931
Selection,Ascending,36000,303.389
Selection,Descending,36000,339.389
Quick,Random,8000,0.501
Quick,Ascending,8000,23.642
Quick,Descending,8000,16.630
Quick,Random,12000,0.570
Quick,Ascending,12000,47.021
Quick,Descending,12000,34.414
Quick,Random,16000,0.762
Quick,Ascending,16000,80.942
Quick,Descending,16000,61.118
Quick,Random,20000,1.353
Quick,Ascending,20000,125.548
Quick,Descending,20000,96.032
Quick,Random,24000,1.773
Quick,Ascending,24000,181.710
Quick,Descending,24000,139.644
Quick,Random,28000,1.428
Quick,Ascending,28000,251.203
Quick,Descending,28000,191.645
Quick,Random,32000,1.873
Quick,Ascending,32000,320.224
Quick,Descending,32000,253.845
Quick,Random,36000,2.002
Quick,Ascending,36000,412.617
Quick,Descending,36000,315.639
Merge,Random,8000,0.744
Merge,Ascending,8000,0.343
Merge,Descending,8000,0.247
Merge,Random,12000,0.744
Merge,Ascending,12000,0.328
Merge,Descending,12000,0.330
Merge,Random,16000,1.025
Merge,Ascending,16000,0.390
Merge,Descending,16000,0.397
Merge,Random,20000,1.326
Merge,Ascending,20000,0.494
Merge,Descending,20000,0.524
Merge,Random,24000,1.897
Merge,Ascending,24000,0.666
Merge,Descending,24000,0.606
Merge,Random,28000,1.895
Merge,Ascending,28000,0.582
Merge,Descending,28000,0.633
Merge,Random,32000,2.156
Merge,Ascending,32000,0.746
Merge,Descending,32000,0.715
Merge,Random,36000,2.524
Merge,Ascending,36000,0.825
Merge,Descending,36000,0.789
